City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ulladulla,-35.35,150.4667,63.21,82,92,4.25,AU,1675621254
84,sao miguel do araguaia,-13.275,-50.1628,86.14,63,75,3.33,BR,1675621254
85,saskylakh,71.9167,114.0833,-40.74,100,100,3.96,RU,1675621175
86,bulawayo,-20.15,28.5833,70.9,59,100,6.02,ZW,1675621255
87,nagaur,27.2,73.7333,70.92,26,0,9.44,IN,1675621255
88,tukrah,32.5341,20.5791,52.57,53,88,34.18,LY,1675621256
89,pangnirtung,66.1451,-65.7125,-27.4,75,75,0.0,CA,1675621197
90,mahebourg,-20.4081,57.7,80.26,89,20,3.44,MU,1675621256
91,vrede,-27.4257,29.1659,57.02,92,88,4.72,ZA,1675621257
92,chillicothe,39.3331,-82.9824,52.11,43,75,19.57,US,1675621257
93,safaga,26.7292,33.9365,67.71,32,98,5.91,EG,1675621258
94,codrington,-38.2667,141.9667,56.32,85,45,6.26,AU,1675621258
95,iquitos,-3.7481,-73.2472,77.04,88,100,10.36,PE,1675621259
96,dingle,10.9995,122.6711,73.99,92,100,7.34,PH,1675621259
97,new norfolk,-42.7826,147.0587,56.7,63,96,3.0,AU,1675621259
98,kodiak,57.79,-152.4072,36.91,100,100,33.38,US,1675621093
99,cairns,-16.9167,145.7667,80.06,97,40,6.91,AU,1675621260
100,osmena,10.5208,119.9258,79.18,84,96,13.18,PH,1675621260
101,nakhon thai,17.1006,100.8374,75.29,78,56,0.83,TH,1675621261
102,mar del plata,-38.0023,-57.5575,87.84,37,0,17.27,AR,1675621261
103,bilma,18.6853,12.9164,74.66,14,32,12.24,NE,1675621129
104,upernavik,72.7868,-56.1549,-14.89,96,99,1.63,GL,1675621264
105,iracoubo,5.4802,-53.2011,76.96,88,97,13.82,GF,1675621266
106,chokurdakh,70.6333,147.9167,-39.5,100,97,3.29,RU,1675621267
107,imbituba,-28.24,-48.6703,80.37,60,26,9.75,BR,1675621124
108,hermanus,-34.4187,19.2345,69.8,80,97,8.57,ZA,1675621270
109,semporna,4.4818,118.6112,77.34,87,69,5.93,MY,1675621271
110,miles city,46.4083,-105.8406,38.37,65,0,12.66,US,1675621273
111,san ramon,37.7799,-121.978,54.59,83,20,14.97,US,1675621096
112,sumbe,-11.2061,13.8437,79.2,75,40,10.63,AO,1675621274
113,juneau,58.3019,-134.4197,35.22,100,97,3.44,US,1675621275
114,leningradskiy,69.3833,178.4167,-25.98,98,100,4.52,RU,1675621275
115,trapani,37.8333,12.6667,44.69,76,40,8.05,IT,1675621026
116,sao filipe,14.8961,-24.4956,71.82,58,19,9.78,CV,1675621057
117,puerto lempira,15.2667,-83.7667,86.14,66,40,9.22,HN,1675621214
118,lavrentiya,65.5833,-171.0,-3.89,96,100,9.17,RU,1675621278
119,tsabong,-26.0217,22.401,84.2,39,88,8.99,BW,1675621281
120,sola,-13.8833,167.55,83.28,72,100,22.28,VU,1675621282
121,boyolangu,-8.1181,111.8935,76.51,82,98,2.13,ID,1675621284
122,montmagny,48.9734,2.3469,45.01,70,0,11.5,FR,1675621285
123,guarapari,-20.6667,-40.4975,86.9,77,6,9.13,BR,1675621285
124,paramonga,-10.6667,-77.8333,77.43,68,48,8.3,PE,1675621286
125,abbeville,50.1,1.8333,43.5,85,56,8.12,FR,1675621287
126,beloha,-25.1667,45.05,72.5,87,100,12.48,MG,1675621289
127,hobart,-42.8794,147.3294,57.06,80,94,5.75,AU,1675621290
128,rivers,50.0308,-100.2403,20.35,97,100,5.08,CA,1675621290
129,port alfred,-33.5906,26.891,71.19,91,6,5.01,ZA,1675621290
130,tiksi,71.6872,128.8694,-29.63,100,100,3.36,RU,1675621291
131,hambantota,6.1241,81.1185,76.96,84,100,11.16,LK,1675621114
132,mount gambier,-37.8333,140.7667,52.07,94,38,3.98,AU,1675621291
133,derzhavinsk,51.1,66.3167,11.98,97,86,6.76,KZ,1675621194
134,tonj,7.2737,28.6822,85.12,12,23,3.94,SS,1675621058
135,sitka,57.0531,-135.33,37.29,81,20,9.22,US,1675621186
136,albina,5.5,-54.05,76.41,93,96,5.84,SR,1675621292
137,arraial do cabo,-22.9661,-42.0278,87.76,70,40,8.05,BR,1675621242
138,nome,64.5011,-165.4064,15.87,79,75,6.91,US,1675621287
139,atuona,-9.8,-139.0333,78.3,78,11,16.87,PF,1675621178
140,birao,10.2849,22.7882,81.05,11,65,5.23,CF,1675621293
141,qaqortoq,60.7167,-46.0333,20.95,82,100,7.47,GL,1675621293
142,sadon,42.8518,44.0037,23.43,86,93,2.84,RU,1675621294
143,riberalta,-10.9833,-66.1,84.4,70,75,6.91,BO,1675621294
